index,Missing_Value_Percentage,DataType
AWND,100.0,string
MonthlyDepartureFromNormalAverageTemperature,100.0,string
MonthlySeaLevelPressure,100.0,string
MonthlyStationPressure,100.0,string
MonthlyTotalLiquidPrecipitation,100.0,string
MonthlyDepartureFromNormalCoolingDegreeDays,100.0,string
MonthlyTotalSnowfall,100.0,string
MonthlyWetBulb,100.0,string
CDSD,100.0,string
MonthlyMinSeaLevelPressureValueTime,100.0,string
CLDD,100.0,string
DSNW,100.0,string
HDSD,100.0,string
HTDD,100.0,string
NormalsCoolingDegreeDay,100.0,string
NormalsHeatingDegreeDay,100.0,string
MonthlyMinimumTemperature,100.0,string
MonthlyMinSeaLevelPressureValueDate,100.0,string
ShortDurationEndDate010,100.0,string
MonthlyMaxSeaLevelPressureValueTime,100.0,string
MonthlyGreatestSnowDepth,100.0,string
MonthlyGreatestSnowDepthDate,100.0,string
MonthlyGreatestSnowfall,100.0,string
MonthlyGreatestSnowfallDate,100.0,string
MonthlyMaxSeaLevelPressureValue,100.0,string
MonthlyMaxSeaLevelPressureValueDate,100.0,string
MonthlyMaximumTemperature,100.0,string
MonthlyMinSeaLevelPressureValue,100.0,string
MonthlyMeanTemperature,100.0,string
MonthlyDewpointTemperature,100.0,string
MonthlyDepartureFromNormalPrecipitation,100.0,string
MonthlyDepartureFromNormalMinimumTemperature,100.0,string
MonthlyDepartureFromNormalMaximumTemperature,100.0,string
MonthlyDepartureFromNormalHeatingDegreeDays,100.0,string
MonthlyGreatestPrecip,100.0,string
ShortDurationEndDate005,100.0,string
ShortDurationEndDate015,100.0,string
ShortDurationPrecipitationValue045,100.0,string
MonthlyAverageRH,100.0,string
MonthlyDaysWithGT001Precip,100.0,string
MonthlyDaysWithGT010Precip,100.0,string
MonthlyDaysWithGT32Temp,100.0,string
MonthlyDaysWithGT90Temp,100.0,string
MonthlyDaysWithLT0Temp,100.0,string
MonthlyDaysWithLT32Temp,100.0,string
ShortDurationPrecipitationValue180,100.0,string
ShortDurationPrecipitationValue150,100.0,string
ShortDurationPrecipitationValue120,100.0,string
ShortDurationEndDate020,100.0,string
ShortDurationPrecipitationValue080,100.0,string
ShortDurationPrecipitationValue060,100.0,string
ShortDurationPrecipitationValue100,100.0,string
ShortDurationPrecipitationValue030,100.0,string
ShortDurationEndDate150,100.0,string
ShortDurationEndDate030,100.0,string
ShortDurationEndDate045,100.0,string
ShortDurationEndDate060,100.0,string
ShortDurationEndDate080,100.0,string
ShortDurationEndDate100,100.0,string
ShortDurationEndDate120,100.0,string
ShortDurationPrecipitationValue020,100.0,string
MonthlyGreatestPrecipDate,100.0,string
ShortDurationEndDate180,100.0,string
ShortDurationPrecipitationValue005,100.0,string
ShortDurationPrecipitationValue010,100.0,string
ShortDurationPrecipitationValue015,100.0,string
DailyAverageSeaLevelPressure,99.99993656565432,string
DailyAverageStationPressure,99.99993656565432,string
DailyAverageWetBulbTemperature,99.99993656565432,string
DailyAverageDewPointTemperature,99.99993656565432,string
DailySnowDepth,99.99992829160924,string
DailyAverageRelativeHumidity,99.99990898550402,string
DailySnowfall,99.99988140535372,string
DailyPeakWindDirection,99.9998703732936,string
DailyPeakWindSpeed,99.99986761527856,string
DailyWeather,99.99986761527856,string
DailyAverageWindSpeed,99.99983727711326,string
DailySustainedWindDirection,99.99980969696296,string
DailyDepartureFromNormalAverageTemperature,99.99980142291788,string
DailyAverageDryBulbTemperature,99.99979866490284,string
DailyCoolingDegreeDays,99.99979866490284,string
DailyHeatingDegreeDays,99.99979866490284,string
DailyMaximumDryBulbTemperature,99.99979866490284,string
DailyMinimumDryBulbTemperature,99.99979866490284,string
DailySustainedWindSpeed,99.9997379885722,string
DailyPrecipitation,99.99972695651206,string
Sunrise,99.99966903819644,string
Sunset,99.99966903819644,string
CANCELLATION_CODE,99.9473963793413,string
LONGEST_ADD_GTIME,99.36109892336609,double
TOTAL_ADD_GTIME,99.36109754435856,double
FIRST_DEP_TIME,99.36107548023834,int
HourlyPresentWeatherType,91.02010991489718,string
HourlyWindGustSpeed,90.64107590938548,string
NAS_DELAY,82.10277023165713,double
SECURITY_DELAY,82.10277023165713,double
CARRIER_DELAY,82.10277023165713,double
WEATHER_DELAY,82.10277023165713,double
LATE_AIRCRAFT_DELAY,82.10277023165713,double
BackupElevation,76.68759664515603,string
BackupLatitude,75.310765204237,string
BackupLongitude,75.310765204237,string
BackupEquipment,68.07366481630979,string
BackupDistanceUnit,67.38116585459902,string
BackupDistance,67.38116585459902,string
BackupDirection,67.38116585459902,string
BackupElements,64.04559213969027,string
BackupName,62.97292287027562,string
HourlyPressureTendency,42.46047843755581,string
HourlyPressureChange,42.46047843755581,string
WindEquipmentChangeDate,38.52070912813753,string
HourlyPrecipitation,35.57541108800093,string
HourlyAltimeterSetting,28.0059533409222,string
HourlySeaLevelPressure,24.1818882780238,string
HourlySkyConditions,20.258120971807006,string
HourlyWetBulbTemperature,15.645263610455974,string
HourlyStationPressure,15.611841984327828,string
HourlyWindDirection,15.142706385815604,string
HourlyWindSpeed,14.62899850641075,string
HourlyRelativeHumidity,14.611680930040178,string
HourlyDewPointTemperature,14.60869124174814,string
HourlyDryBulbTemperature,14.59257891794548,string
HourlyVisibility,14.591067525709288,string
REM,14.566344678984358,string
YEAR,14.373107113953637,int
REPORT_TYPE,14.373107113953637,string
NAME,14.373107113953637,string
ELEVATION,14.373107113953637,string
LONGITUDE,14.373107113953637,string
LATITUDE,14.373107113953637,string
DATE,14.373107113953637,string
STATION,14.373107113953637,string
SOURCE,14.373107113953637,string
Depart_3hrs_before,14.35457325295503,timestamp
sched_depart_date_time_UTC,14.35457325295503,timestamp
dest_station_lon,0.4453463398747979,double
dest_airport_lat,0.4453463398747979,double
dest_iata_code,0.4453463398747979,string
dest_type,0.4453463398747979,string
dest_station_dis,0.4453463398747979,double
dest_airport_lon,0.4453463398747979,double
dest_region,0.4453463398747979,string
dest_station_lat,0.4453463398747979,double
dest_station_id,0.4453463398747979,string
dest_station_name,0.4453463398747979,string
ARR_DELAY_GROUP,0.3035361020926701,int
ARR_DEL15,0.3035361020926701,double
ARR_DELAY,0.3035361020926701,double
ARR_DELAY_NEW,0.3035361020926701,double
AIR_TIME,0.296748627104936,double
ACTUAL_ELAPSED_TIME,0.296748627104936,double
TAXI_IN,0.0885502095463974,double
WHEELS_ON,0.0885502095463974,int
ARR_TIME,0.0885198713810723,int
WHEELS_OFF,0.0413978055936157,int
TAXI_OUT,0.0413978055936157,double
CRS_ELAPSED_TIME,8.825648094574984e-05,double
TAIL_NUM,2.7580150295546824e-06,string
DEST_AIRPORT_SEQ_ID,0.0,int
DEST_AIRPORT_ID,0.0,int
DAY_OF_MONTH,0.0,int
DEST_CITY_MARKET_ID,0.0,int
DEST,0.0,string
DEST_CITY_NAME,0.0,string
DEST_STATE_ABR,0.0,string
ORIGIN_WAC,0.0,int
ORIGIN_AIRPORT_SEQ_ID,0.0,int
OP_UNIQUE_CARRIER,0.0,string
DAY_OF_WEEK,0.0,int
FL_DATE,0.0,string
ORIGIN_AIRPORT_ID,0.0,int
ORIGIN_STATE_NM,0.0,string
ORIGIN_STATE_FIPS,0.0,int
ORIGIN_STATE_ABR,0.0,string
ORIGIN_CITY_NAME,0.0,string
ORIGIN,0.0,string
ORIGIN_CITY_MARKET_ID,0.0,int
OP_CARRIER_AIRLINE_ID,0.0,int
OP_CARRIER,0.0,string
DEST_STATE_NM,0.0,string
OP_CARRIER_FL_NUM,0.0,int
DEST_STATE_FIPS,0.0,int
MONTH,0.0,int
DEST_WAC,0.0,int
CRS_DEP_TIME,0.0,int
origin_iata_code,0.0,string
origin_region,0.0,string
origin_station_name,0.0,string
origin_type,0.0,string
origin_station_dis,0.0,double
origin_airport_lon,0.0,double
origin_airport_lat,0.0,double
origin_station_lon,0.0,double
origin_station_lat,0.0,double
origin_station_id,0.0,string
DISTANCE_GROUP,0.0,int
DISTANCE,0.0,double
FLIGHTS,0.0,double
DIVERTED,0.0,double
CANCELLED,0.0,double
ARR_TIME_BLK,0.0,string
CRS_ARR_TIME,0.0,int
DEP_TIME_BLK,0.0,string
DEP_DELAY_GROUP,0.0,int
DEP_DEL15,0.0,double
DEP_DELAY_NEW,0.0,double
DEP_DELAY,0.0,double
DEP_TIME,0.0,int
QUARTER,0.0,int
